MType;MType2;h(kpc);re(kpc);Blg/T;M/Lbu;M/Ld;Mblg(Msun);Mdisk(Msun)
barred      ;pseudo-bulge; 3.117; 0.521; 0.059;1.5e+00;8.4e-01;1.1e+09;9.8e+09
elliptical  ;unbarred    ;      ; 3.624; 1.000;1.9e+00;       ;7.5e+10;
elliptical  ;unbarred    ;      ; 2.450; 1.000;1.8e+00;       ;4.9e+10;
classical   ;unbarred    ; 6.039; 2.095; 0.428;1.9e+00;1.6e+00;2.3e+10;2.6e+10
barred      ;classical   ; 3.523; 1.041; 0.286;3.2e+00;8.6e-01;1.8e+10;7.3e+09
classical   ;unbarred    ; 4.957; 3.077; 0.707;2.3e+00;4.1e+00;7.9e+10;5.9e+10
barred      ;classical   ; 5.281; 1.252; 0.399;3.8e+00;6.2e-01;4.8e+10;9.6e+09
elliptical  ;unbarred    ;      ; 4.078; 1.000;2.7e+00;       ;2.1e+11;
barred      ;classical   ; 2.863; 1.177; 0.397;2.1e+00;8.9e-01;1.6e+10;6.5e+09
elliptical  ;unbarred    ;      ; 4.838; 1.000;2.1e+00;       ;1.5e+11;
pseudo-bulge;unbarred    ; 3.722; 0.808; 0.109;1.5e+00;9.1e-01;2.1e+09;1.1e+10
pseudo-bulge;unbarred    ; 1.919; 1.099; 0.286;6.2e-01;9.2e-01;2.1e+09;7.6e+09
barred      ;classical   ; 2.451; 1.449; 0.544;2.2e+00;2.7e+00;3.1e+10;2.7e+10
classical   ;unbarred    ; 2.403; 2.226; 0.646;1.1e+00;4.4e+00;1.4e+10;2.9e+10
pseudo-bulge;unbarred    ; 3.030; 0.952; 0.081;2.5e+00;6.7e-01;3.1e+09;9.4e+09
classical   ;unbarred    ; 3.645; 1.792; 0.452;1.9e+00;1.8e+00;3.4e+10;3.9e+10
elliptical  ;unbarred    ;      ; 2.728; 1.000;2.7e+00;       ;7.3e+10;
elliptical  ;unbarred    ;      ; 4.759; 1.000;3.0e+00;       ;1.7e+11;
elliptical  ;unbarred    ;      ; 2.105; 1.000;2.3e+00;       ;3.3e+10;
classical   ;unbarred    ; 2.910; 1.341; 0.424;3.1e+00;2.7e+00;4.3e+10;5.0e+10
elliptical  ;unbarred    ;      ; 3.194; 1.000;2.3e+00;       ;7.9e+10;
barred      ;classical   ; 2.252; 0.725; 0.222;1.8e+00;2.0e+00;5.9e+09;2.1e+10
barred      ;pseudo-bulge; 3.097; 0.540; 0.047;1.9e+00;6.1e-01;9.2e+08;5.6e+09
elliptical  ;unbarred    ;      ; 4.341; 1.000;2.9e+00;       ;1.8e+11;
unbarred    ;            ; 5.955; 0.748; 0.000;1.4e+00;8.3e-01;3.6e+09;1.3e+10
pseudo-bulge;unbarred    ; 3.395; 0.782; 0.069;1.5e+00;6.8e-01;1.4e+09;8.5e+09
classical   ;unbarred    ; 1.874; 0.905; 0.276;1.8e+00;1.1e+00;7.7e+09;1.3e+10
classical   ;unbarred    ; 1.969; 0.863; 0.237;1.0e+00;1.3e+00;4.6e+09;1.9e+10
elliptical  ;unbarred    ;      ; 2.394; 1.000;1.9e+00;       ;3.1e+10;
barred      ;classical   ; 3.145; 1.167; 0.357;2.7e+00;8.7e-01;1.9e+10;9.1e+09
barred      ;classical   ; 6.043; 0.598; 0.175;1.7e+00;1.2e+00;1.2e+10;3.5e+10
classical   ;unbarred    ; 5.177; 0.616; 0.057;1.6e+00;6.5e-01;4.0e+09;2.7e+10
elliptical  ;unbarred    ;      ; 2.409; 1.000;2.7e+00;       ;8.6e+10;
elliptical  ;unbarred    ;      ; 3.492; 1.000;1.9e+00;       ;8.7e+10;
elliptical  ;unbarred    ;      ; 2.242; 1.000;1.7e+00;       ;1.5e+10;
barred      ;classical   ; 5.026; 0.548; 0.081;1.5e+00;8.0e-01;5.2e+09;2.9e+10
elliptical  ;unbarred    ;      ; 3.371; 1.000;2.0e+00;       ;8.5e+10;
elliptical  ;unbarred    ;      ; 3.749; 1.000;2.4e+00;       ;1.1e+11;
classical   ;unbarred    ; 1.762; 0.912; 0.388;6.6e-01;8.5e-01;3.0e+09;6.0e+09
classical   ;unbarred    ; 1.949; 1.046; 0.609;3.0e+00;1.0e+00;2.5e+10;5.7e+09
classical   ;unbarred    ; 1.342; 0.820; 0.494;1.3e+00;1.5e+00;7.7e+09;9.0e+09
classical   ;unbarred    ; 2.463; 1.309; 0.533;2.3e+00;3.9e+00;3.2e+10;4.8e+10
elliptical  ;unbarred    ;      ; 2.845; 1.000;2.3e+00;       ;7.5e+10;
