h(kpc) re(kpc) B/T   Mb(Msun) Md(Msun)
1.244  0.769  0.635 1.5e+10 3.6e+09
4.130  1.097  0.154 9.9e+09 2.7e+10
2.980  0.627  0.220 8.2e+09 1.2e+10
0      2.193  1.000 2.8e+10 0
3.319  0      0.000 0       2.1e+10
2.403  0.818  0.435 1.9e+10 2.0e+10
2.704  1.113  0.458 2.9e+10 4.0e+10
2.592  0.837  0.386 1.1e+10 4.5e+09
3.033  1.499  0.567 5.3e+10 2.7e+10
1.525  0.590  0.545 6.2e+09 7.1e+09
0      2.719  1.000 6.3e+10 0
2.159  1.145  0.541 2.5e+10 1.8e+10
2.086  0.645  0.338 7.6e+09 1.7e+10
1.934  0.987  0.573 7.3e+09 1.6e+10
3.371  0.883  0.162 6.2e+09 1.9e+10
2.309  0.535  0.124 1.8e+09 1.2e+10
2.507  0      0.000 0       8.2e+09
2.132  0.606  0.142 4.9e+09 1.3e+10
1.991  0.484  0.109 1.3e+09 1.2e+10
4.316  0.416  0.023 2.0e+09 8.0e+09
0      2.191  1.000 1.8e+10 0
3.910  0      0.000 0       1.7e+10
3.049  0.404  0.045 1.2e+09 7.3e+09
0      4.055  1.000 1.3e+11 0
0      2.800  1.000 6.9e+10 0
2.696  1.363  0.612 2.9e+10 2.3e+10
2.398  1.099  0.518 4.0e+10 2.9e+10
1.234  0.581  0.479 5.8e+09 7.6e+09
0      2.789  1.000 5.8e+10 0
3.310  1.106  0.332 2.9e+10 3.0e+10
2.525  0.559  0.113 3.0e+09 9.6e+09
0      4.015  1.000 1.2e+11 0
1.927  0.652  0.420 7.7e+09 7.3e+09
2.419  1.373  0.497 1.9e+10 1.2e+10
2.099  0.901  0.355 5.7e+10 9.7e+09
0      3.286  1.000 1.1e+11 0
0      2.221  1.000 2.0e+10 0
2.095  0.493  0.110 1.6e+09 8.6e+09
1.673  0.778  0.510 6.8e+09 1.3e+10
2.546  1.443  0.620 3.7e+10 3.9e+10
0      1.885  1.000 1.6e+10 0
2.504  0.431  0.058 5.9e+08 9.6e+09
1.460  0.571  0.344 6.5e+09 6.1e+09
5.105  0.599  0.092 2.2e+09 2.0e+10
0      3.069  1.000 6.1e+10 0
1.949  0.233  0.029 3.1e+08 7.3e+09
3.619  0.971  0.208 1.9e+10 4.4e+10
0      2.207  1.000 2.2e+10 0
3.965  1.336  0.458 3.2e+10 2.7e+10
1.995  0.687  0.382 1.2e+10 4.4e+10
3.133  0.760  0.191 6.4e+09 2.3e+10
2.624  1.554  0.596 4.3e+10 3.3e+10
2.220  0.897  0.424 2.0e+10 2.6e+10
2.376  1.276  0.474 4.3e+10 2.5e+10
3.095  1.182  0.511 5.8e+10 5.2e+10
0      3.630  1.000 8.1e+10 0
0      2.942  1.000 4.8e+10 0
5.075  0.836  0.073 2.0e+10 6.1e+10
2.585  0.379  0.035 8.5e+08 1.3e+10
